화면,작업상세 (WorkDetail),,최종 수정,2026-04-09
대상 SQL,"gg7hh8ii9 / ss9tt0uu1 / b1c2d3e4f5g6h / t01_sql_003",,작성,PM
,,,,
No,캡처,,설명,
1,"=IMAGE(""https://i.imgur.com/51zK7ji.png"",4,700,1100)",,"[튜닝대기 · pending]
내용: AI 튜닝 시작 전 큐 대기 상태. SQL/Plan 기본 정보만 표시.
구성: 상단 네비 · 헤더(작업ID·SQL ID·상태 배지) · SQL 원문 · 실행계획 · 하단 액션 없음
동작: 큐 순번에 따라 자동으로 tuning 상태 전이
도움말: 사용자는 이 화면에서 할 수 있는 일이 없음 (관망)",
2,"=IMAGE(""https://i.imgur.com/TkKngXw.png"",4,700,1100)",,"[튜닝중 · tuning]
내용: AI가 튜닝 중. 실시간 프로그레스 표시.
구성: 헤더 · 진행률 인디케이터 · 현재 단계(분석/생성/검증) · SQL·Plan 원본
동작: 완료 시 approval_pending(튜닝완료)로 전이 → 알림
도움말: 취소 필요 시 상단 우측 ··· 메뉴",
3,"=IMAGE(""https://i.imgur.com/GPfbkbg.png"",4,700,1100)",,"[튜닝완료 · approval_pending — 단일안]
내용: AI가 하나의 튜닝안을 제시. 사람의 확인(승인) 대기.
구성: 원본 vs 튜닝안 좌우 비교 · 성능 예측 · 변경 요약 · 하단 플로팅 액션바(확인/재튜닝/반려)
동작: 확인 → apply_pending / 반려 → rejected / 재튜닝 → tuning 재진입
도움말: 차가운 신뢰감 — 근거를 먼저, 버튼은 하단 고정",
4,"=IMAGE(""https://i.imgur.com/1zJ4wB4.png"",4,700,1100)",,"[튜닝완료 · approval_pending — 복수안 (인덱스+차선안)]
내용: AI가 2개 이상 대안 제시 (예: 인덱스안, 차선안). 탭/세그먼트로 전환.
구성: 대안 선택 탭 · 선택된 안의 원본 비교 · 예상 효과 · 하단 액션
동작: 탭 전환으로 각 대안 미리보기, 확인 시 선택된 안만 반영대기로 전이
도움말: 복수안 중 하나만 확인 가능 (멀티 선택 불가)",
5,"=IMAGE(""https://i.imgur.com/Odt3MTR.png"",4,500,900)",,"[모달 · 확인 대화상자]
내용: 확인 버튼 클릭 시 최종 확인 다이얼로그.
구성: 제목 · 안내문(""확인 후 반영대기로 전환되며..."") · 취소/확인 버튼
동작: 확인 → 상태 전이 + 토스트 · 취소 → 모달 닫기
도움말: Enter 키로 확인, Esc로 취소",
6,"=IMAGE(""https://i.imgur.com/YiifzSj.png"",4,500,900)",,"[모달 · 반려 사유 입력]
내용: 반려 버튼 클릭 시 사유 입력 모달.
구성: textarea · 취소/반려 버튼(사유 없으면 비활성)
동작: 반려 → rejected 전이, 사유는 히스토리에 기록
도움말: 사유는 필수 — AI 재학습 데이터로 활용",
7,"=IMAGE(""https://i.imgur.com/FQYQV24.png"",4,500,900)",,"[모달 · 재튜닝 요청]
내용: 기존 결과가 불만족스러워 재튜닝 요청.
구성: 재튜닝 조건 체크박스 · 자유 입력 · 취소/재튜닝 요청 버튼
동작: 요청 → tuning 상태로 재진입, 이전 결과는 히스토리 보관
도움말: 조건 복수 선택 가능",
8,"=IMAGE(""https://i.imgur.com/L18o1D8.png"",4,700,1100)",,"[인터랙션 · 전체비교 풀스크린]
내용: SQL·Plan 좌우 비교를 화면 전체로 확장.
구성: 상단 닫기(Esc) · 좌(원본) 우(튜닝안) · 동기 스크롤 · DIFF 하이라이트
동작: Esc 또는 닫기 버튼으로 복귀
도움말: 상세 리뷰 시 가장 많이 쓰는 인터랙션",
9,"=IMAGE(""https://i.imgur.com/OKoWj2O.png"",4,700,1100)",,"[슬라이드 패널 · 목록에서 행 클릭]
내용: /work 목록에서 행 클릭 시 우측 슬라이드 패널로 상세 미리보기.
구성: 좁은 폭(narrow) 상세 · 우상단 펼치기 버튼으로 전체 화면 전환
동작: 다른 행 클릭 시 패널 내용 교체 · 펼치기 → /work/:id 전체 페이지
도움말: 목록 문맥 유지하며 빠르게 훑기 위한 동선",
